"","x","y","land","built_s","built_v","pop","smod.10","smod.11","smod.12","smod.13","smod.21","smod.22","smod.23","smod.30","SCHOOLS"
"9773",-1312000,1400000,995767.5,1164.97,2913.21,2284.32701075636,0,84,16,0,0,0,0,0,"0"
"9774",-1302000,1400000,999568.41,3454.29,9410.58,7376.29932551644,0,78,19,0,2,0,1,0,"1"
"9775",-1292000,1400000,999531.37,991.35,2479.25,1943.3116855789,0,85,15,0,0,0,0,0,"0"
"9776",-1282000,1400000,999228.58,2164.76,5412.73,2624.30799489655,0,79,21,0,0,0,0,0,"0"
"9777",-1272000,1400000,998431.6,8005.42,20079.37,7850.72330059204,0,60,34,6,0,0,0,0,"1"
"9778",-1262000,1400000,998152.73,8420.43,21054.01,7934.37060690578,0,61,35,4,0,0,0,0,"1"
"9779",-1252000,1400000,998287.14,8404.52,21014.83,7413.68042712286,0,56,41,3,0,0,0,0,"1"
"9780",-1242000,1400000,998612.98,6586.79,16519.07,6795.13003497478,0,66,31,3,0,0,0,0,"1"
"9781",-1232000,1400000,998294.92,15893.62,49236.88,16713.6270259162,0,40,51,1,6,0,2,0,"1"
"9782",-1222000,1400000,995267.98,56147.47,273639.72,77746.6861883095,0,24,42,6,10,0,0,18,"1"
"9783",-1212000,1400000,999380.06,80661.37,474248.23,134562.161655816,0,13,47,0,19,0,0,21,"1"
"9784",-1202000,1400000,999026.06,10303.43,25763.18,9990.72599172033,0,41,52,7,0,0,0,0,"1"
"9785",-1192000,1400000,996405.18,9722.48,25343.32,12528.690663211,0,48,42,10,0,0,0,0,"1"
"9786",-1182000,1400000,999382.73,4448.41,11123.41,2725.40767781716,0,84,16,0,0,0,0,0,"0"
"9787",-1172000,1400000,998519.77,4033.28,10085.32,2452.60413784906,0,81,19,0,0,0,0,0,"0"
"9788",-1162000,1400000,997791.84,4726.36,11818.51,4168.42725203186,0,74,26,0,0,0,0,0,"0"
"9789",-1152000,1400000,998082.34,5303.64,13261.46,4584.08444520086,0,76,21,3,0,0,0,0,"0"
"9790",-1142000,1400000,999976.2,1299.61,3249.61,851.136207088829,0,96,4,0,0,0,0,0,"0"
"9791",-1132000,1400000,999382.91,689.49,1724.07,450.250395804643,0,97,3,0,0,0,0,0,"0"
"9792",-1122000,1400000,995653.66,97.23,243.13,62.9168284297921,0,99,1,0,0,0,0,0,"0"
"9793",-1112000,1400000,995359.64,542.58,1356.88,634.448725068942,0,94,6,0,0,0,0,0,"1"
"9794",-1102000,1400000,1e+06,3499.89,8751.9,4093.3405061923,0,84,13,3,0,0,0,0,"0"
"9795",-1092000,1400000,1e+06,354.31,886.17,427.764190193266,0,97,3,0,0,0,0,0,"0"
